trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
987,False,"{'a': 0.002, 'e': 0.13917822123048373}",25,17,1.8605135697661546,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
988,False,"{'a': 0.002, 'e': 0.138900142958987}",30,22,13.429507359152854,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
989,False,"{'a': 0.002, 'e': 0.13862262028824732}",25,7,15.784094635972137,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
990,False,"{'a': 0.002, 'e': 0.13834565210817362}",20,14,13.134211775449128,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
991,False,"{'a': 0.002, 'e': 0.13806923731089282}",25,13,-17.34670898082865,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
992,False,"{'a': 0.002, 'e': 0.13779337479074535}",30,0,17.55545240432289,"{0: 28, 1: 0, 2: 1, 3: 1, 4: 0}",0
993,False,"{'a': 0.002, 'e': 0.13751806344428075}",20,5,23.977179216551022,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
994,False,"{'a': 0.002, 'e': 0.13724330217025332}",35,15,20.79091480943791,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
995,False,"{'a': 0.002, 'e': 0.13696908986961753}",20,8,20.864931272596262,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
996,False,"{'a': 0.002, 'e': 0.13669542544552385}",25,3,41.91229123328661,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
997,False,"{'a': 0.002, 'e': 0.13642230780331424}",25,14,21.750773052095173,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
998,False,"{'a': 0.002, 'e': 0.1361497358505177}",25,20,7.679846157307586,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
999,False,"{'a': 0.002, 'e': 0.13587770849684613}",20,15,7.58408925474388,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1000,False,"{'a': 0.002, 'e': 0.1356062246541897}",20,9,9.106475471796125,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
1001,False,"{'a': 0.002, 'e': 0.1353352832366127}",20,12,14.846128222038953,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1002,False,"{'a': 0.002, 'e': 0.13506488316034906}",20,12,-9.289069462430025,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
1003,False,"{'a': 0.002, 'e': 0.1347950233437982}",20,13,-31.316464264942596,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
1004,False,"{'a': 0.002, 'e': 0.1345257027075204}",20,8,16.947953065649,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
1005,False,"{'a': 0.002, 'e': 0.13425692017423285}",25,7,21.26534804596732,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
1006,False,"{'a': 0.002, 'e': 0.13398867466880493}",25,19,11.840145132316485,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1007,False,"{'a': 0.002, 'e': 0.1337209651182544}",20,15,10.423032583946823,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1008,False,"{'a': 0.002, 'e': 0.1334537904517426}",30,10,11.559308810575214,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
1009,False,"{'a': 0.002, 'e': 0.1331871496005706}",25,5,29.666648073687487,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
1010,False,"{'a': 0.002, 'e': 0.13292104149817452}",30,21,16.592733887701193,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1011,False,"{'a': 0.002, 'e': 0.13265546508012172}",20,7,11.502604709021403,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
1012,False,"{'a': 0.002, 'e': 0.13239041928410605}",25,14,6.254829029859113,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
1013,False,"{'a': 0.002, 'e': 0.1321259030499441}",20,3,16.530340946600028,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
1014,False,"{'a': 0.002, 'e': 0.13186191531957048}",20,12,-24.19412764091395,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
1015,False,"{'a': 0.002, 'e': 0.131598455037034}",20,15,9.108971372518075,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1016,False,"{'a': 0.002, 'e': 0.13133552114849303}",20,5,6.69642128274858,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
1017,False,"{'a': 0.002, 'e': 0.13107311260221188}",30,24,11.60093373526577,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1018,False,"{'a': 0.002, 'e': 0.13081122834855582}",25,12,-80.57162309866456,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 2}",1
1019,False,"{'a': 0.002, 'e': 0.13054986733998764}",20,0,-0.5152175114643823,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
1020,False,"{'a': 0.002, 'e': 0.13028902853106283}",20,13,12.432383415729419,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
